種別,名称,団体名,出典,年
沖縄データ,行政区域,国土交通省,国土数値情報　行政区域データ,令和4（2022）年、令和5（2023）年
沖縄データ,空港,国土交通省,国土数値情報　空港データ,令和3年度
沖縄データ,空港ネットワーク,国土交通省,国土数値情報　空港間流通量,平成26年度
沖縄データ,港湾,国土交通省,国土数値情報　港湾,平成26年度
沖縄データ,港湾ネットワーク,国土交通省,国土数値情報　港湾間流通量・海上経路,平成28年度
沖縄データ,那覇クルーズターミナル,那覇港管理組合,クルーズ船寄港予定,2024年
沖縄データ,鉄道,国土交通省,国土数値情報　鉄道,令和4年度
沖縄データ,道路,国土交通省,国土数値情報　重要物流道路,令和3年度
沖縄データ,自然公園,国土交通省,国土数値情報　自然公園地域,平成27年度
沖縄データ,自然保全地域,国土交通省,国土数値情報　自然保全地域,平成27年度
沖縄データ,鳥獣保護区,国土交通省,国土数値情報　鳥獣保護区,平成27（2015）年
沖縄データ,農業地域,国土交通省,国土数値情報　農業地域,平成27年度
沖縄データ,市街化調整区域,国土交通省,国土数値情報　都市地域データ,平成30年度
沖縄データ,用途地域,国土交通省,国土数値情報　用途地域データ,令和元年度
沖縄データ,在日米軍施設,内閣府,跡地利用の推進,2021年度
沖縄データ,世界文化遺産,国土交通省,国土数値情報　世界文化遺産,令和4年度
沖縄データ,世界自然遺産,国土交通省,国土数値情報　世界自然遺産,令和4年度
沖縄データ,観光資源,国土交通省,国土数値情報　観光資源,平成26年
沖縄データ,ビーチ,国土交通省,国土数値情報　海岸保全施設データ,平成24（2012）年
沖縄データ,ハイクラスホテル,株式会社リクルート,じゃらんwebサービス,2023年
沖縄データ,エリア方針,沖縄県,第6次沖縄県観光振興基本計画,令和4年
沖縄データ,空路・海路入域状況（海外）,沖縄県,令和3年版観光要覧,令和3年度
沖縄データ,国籍別入域状況（海外）,沖縄県,令和元年版観光要覧,令和元年
